s	isFemale
HG00096	0
HG00099	1
HG00105	0
HG00118	1
HG00129	0
HG00148	0
HG00254	1
HG00271	0
HG00332	1
HG00335	0
HG00421	0
HG00452	1
HG00472	0
HG00534	1
HG00583	0
HG00598	0
HG00619	0
HG00623	1
HG00657	1
HG00663	1
HG00704	0
HG00705	1
HG00733	1
HG00881	0
HG01052	1
HG01070	1
HG01075	0
HG01164	0
HG01174	1
HG01241	0
HG01248	1
HG01256	0
HG01275	1
HG01284	1
HG01334	0
HG01348	1
HG01396	1
HG01443	0
HG01491	0
HG01498	1
HG01537	1
HG01572	1
HG01606	0
HG01623	1
HG01630	0
HG01783	0
HG01784	1
HG01790	1
HG01799	1
HG01801	1
HG01806	1
HG01812	1
HG01813	1
HG01817	1
HG01848	1
HG01849	0
HG01857	1
HG01863	1
HG01874	1
HG01915	1
HG01924	1
HG01965	1
HG01970	0
HG01991	0
HG02010	1
HG02020	0
HG02054	1
HG02086	1
HG02087	1
HG02116	0
HG02122	0
HG02130	1
HG02152	1
HG02154	1
HG02165	1
HG02232	1
HG02236	0
HG02250	0
HG02259	0
HG02298	1
HG02345	1
HG02351	0
HG02363	0
HG02373	0
HG02383	0
HG02384	0
HG02386	0
HG02388	0
HG02389	0
HG02397	0
HG02419	1
HG02462	1
HG02464	0
HG02497	1
HG02521	0
HG02561	0
HG02574	1
HG02580	1
HG02595	1
HG02603	0
HG02629	1
HG02651	0
HG02682	1
HG02688	1
HG02690	0
HG02699	0
HG02760	1
HG02768	0
HG02771	0
HG02792	0
HG02798	0
HG02811	1
HG02814	1
HG02840	1
HG02870	1
HG02881	0
HG02970	1
HG02973	0
HG03009	0
HG03046	1
HG03074	0
HG03091	1
HG03105	1
HG03127	0
HG03193	0
HG03224	0
HG03237	0
HG03241	1
HG03247	1
HG03259	1
HG03267	1
HG03354	1
HG03366	1
HG03367	0
HG03380	1
HG03419	1
HG03451	0
HG03458	1
HG03490	0
HG03491	1
HG03511	1
HG03556	0
HG03563	1
HG03598	1
HG03603	0
HG03607	1
HG03636	0
HG03684	1
HG03686	0
HG03690	1
HG03731	1
HG03740	0
HG03755	0
HG03800	0
HG03815	0
HG03832	1
HG03850	0
HG03873	1
HG03897	1
HG03905	0
HG03937	1
HG03948	1
HG03973	1
HG04059	1
HG04063	1
HG04096	0
HG04099	1
HG04140	0
HG04171	1
HG04209	1
HG04210	0
HG04229	0
HG04239	0
NA07347	0
NA11918	1
NA11919	0
NA12045	0
NA12273	1
NA12342	0
NA12414	1
NA12546	0
NA12760	0
NA12878	1
NA18516	0
NA18525	1
NA18557	0
NA18565	1
NA18616	1
NA18623	0
NA18631	1
NA18740	0
NA18865	0
NA18873	1
NA18916	1
NA18960	0
NA18966	0
NA18975	1
NA18976	1
NA18978	1
NA18990	0
NA19060	0
NA19063	0
NA19086	0
NA19087	1
NA19096	0
NA19113	0
NA19118	1
NA19209	1
NA19314	1
NA19317	0
NA19379	1
NA19384	0
NA19390	1
NA19397	0
NA19399	1
NA19404	1
NA19446	1
NA19655	0
NA19657	1
NA19670	0
NA19678	1
NA19679	0
NA19701	1
NA19720	0
NA19756	0
NA19764	1
NA20318	0
NA20351	0
NA20517	1
NA20518	0
NA20529	1
NA20587	1
NA20757	1
NA20798	0
NA20799	1
NA20810	0
NA20826	1
NA20858	0
NA20864	0
NA20869	1
NA20877	1
NA20888	1
NA20910	1
NA21101	1
NA21113	0
NA21114	0
NA21116	0
NA21118	0
NA21133	0
NA21143	1
