Log 1000

 Running on port 6401
ID/Client: client1 Msg Type: 1
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: 17 Msg Type: 3
ID/Client: 31 Msg Type: 3
ID/Client: 2 Msg Type: 3
ID/Client: 28 Msg Type: 3
ID/Client: 4 Msg Type: 3
ID/Client: 24 Msg Type: 3
ID/Client: 1 Msg Type: 3
ID/Client: 15 Msg Type: 3
ID/Client: 27 Msg Type: 3
ID/Client: 0 Msg Type: 3
ID/Client: 18 Msg Type: 3
ID/Client: 7 Msg Type: 3
ID/Client: 19 Msg Type: 3
ID/Client: 16 Msg Type: 3
ID/Client: 13 Msg Type: 3
ID/Client: 6 Msg Type: 3
ID/Client: 14 Msg Type: 3
ID/Client: 20 Msg Type: 3
ID/Client: 12 Msg Type: 3
ID/Client: 26 Msg Type: 3
ID/Client: 25 Msg Type: 3
ID/Client: 10 Msg Type: 3
ID/Client: 8 Msg Type: 3
ID/Client: 23 Msg Type: 3
ID/Client: 22 Msg Type: 3
ID/Client: 21 Msg Type: 3
ID/Client: 3 Msg Type: 3
ID/Client: 29 Msg Type: 3
ID/Client: 30 Msg Type: 3
ID/Client: 11 Msg Type: 3
ID/Client: 5 Msg Type: 3
ID/Client: 9 Msg Type: 3
Received last message: 1670618567078
Lin 1000

 Running on port 6401
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: client1 Msg Type: 1
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
