1:904165 [-0.16305764  4.65142072 -0.23944419]
1:1563691 [ 0.32842156  4.62797309 -0.30707936]
1:1707740 [-0.01633118  4.56847838 -0.20241891]
1:2284195 [ 0.11938814  4.58821161 -0.27263844]
1:2779043 [-0.02991063  4.53339108 -0.16987133]
1:2944527 [ 0.11470727  4.57544464 -0.21662165]
1:3761547 [-1.48915242  4.64938722 -0.267058  ]
1:3803755 [-0.1505285   4.84004071 -0.27117726]
1:4121584 [ 0.27647336  4.40588028 -0.18028179]
1:4170048 [ 0.00521365  4.6641303  -0.35938367]
1:4180842 [ 0.33639602  4.42749801 -0.22422053]
1:6053630 [-0.36350524  4.83913331 -0.19705325]
1:7569602 [ 0.25567791  4.35816753 -0.27580002]
1:7575666 [-0.01858018  4.61957655 -0.27601965]
1:7811961 [ 0.39148957  4.47625673 -0.29009498]
1:7887493 [-0.09058333  4.77050657 -0.23957783]
1:7999602 [ 0.54441297  4.36725603 -0.21745941]
1:8960153 [ 0.58658443  4.25065398 -0.28814604]
1:8991141 [ 0.19847165  4.39640797 -0.26620067]
1:9514846 [-0.11933169  4.71192668 -0.3056451 ]
1:9655965 [ 0.16780609  4.62352393 -0.29151647]
1:9699768 [-0.17802588  4.83875359 -0.21500209]
1:9780836 [ 0.20363455  4.48991785 -0.34976351]
1:9842576 [-0.34346841  5.05491148 -0.22034652]
1:10165301 [-0.53856851  4.79891109 -0.20467184]
1:10441664 [-0.26718161  4.84437734 -0.19782366]
1:11087687 [-0.89601016  4.65996531 -0.23444954]
1:11127764 [ 0.56741731  3.89161566 -0.2170214 ]
1:11554687 [-0.03131166  4.65325402 -0.22754914]
1:11641283 [ 0.23809396  4.48788697 -0.24795966]
1:11937404 [-0.16244586  4.86149989 -0.27257351]
1:11979556 [-0.24503614  4.98858184 -0.29372272]
1:12216488 [-0.24018207  4.85527128 -0.35965026]
1:14245737 [-0.0241069   4.65502211 -0.30260187]
1:15303970 [-0.09487548  4.67646181 -0.26058365]
1:15389862 [-0.01657941  4.65706806 -0.26064369]
1:15609117 [-0.27788956  4.69907367 -0.25274198]
1:15668276 [-0.07846617  4.69936869 -0.23492386]
1:15909850 [-0.09967388  4.76742057 -0.30754311]
1:16348412 [ 0.19369266  4.34405801 -0.25833334]
1:16484982 [-0.66189378  4.72111658 -0.24085637]
1:16731510 [-0.05977848  4.64703606 -0.24680811]
1:16773880 [-0.00665017  4.62759047 -0.23987009]
1:17916962 [ 0.27841477  4.26094927 -0.23186116]
